K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
8000,-1,0.277361984569,0.277245488297,0.277268787551,0.277245488297,1508085323.36479,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
7000,-1,0.272791372332,0.272627455914,0.272758589049,0.272791372332,1508085080.15431,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
3000,-1,0.257141422403,0.257137047737,0.257137922671,0.257137047737,1508084222.75115,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
9000,-1,0.251664821946,0.251583448858,0.251648547328,0.251664821946,1508085125.03764,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
2000,-1,0.250360479572,0.250360479572,0.250360479572,0.250360479572,1508084677.95349,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
1500,-1,0.246575629591,0.246429514191,0.246546406511,0.246575629591,1508083814.55083,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
6000,-1,0.239443048562,0.238803684328,0.238931557175,0.238803684328,1508084454.83194,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
5000,-1,0.229618775787,0.229590449172,0.229613110464,0.229618775787,1508084390.53626,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
1000,-1,0.227667457182,0.227412956422,0.22761655703,0.227667457182,1508084274.48272,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
4000,-1,0.223565819184,0.223553124,0.223563280147,0.223565819184,1508085120.96846,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
500,-1,0.216065998935,0.216047447314,0.216062288611,0.216065998935,1508083749.08635,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
50,-1,0.186997829708,0.184119279754,0.186422119717,0.186997829708,1508083687.0397,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
100,-1,0.183375357745,0.183375357745,0.183375357745,0.183375357745,1508084536.06106,25010,2,25010,./proteins/gb1_dense/,ECOS,0.001,2
