K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
8000,2999,0.505338359249,0.505338359249,0.505338359249,0.505338359249,1508124889.90958,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,2999,0.504847341865,0.504792257689,0.504836325029,0.504847341865,1508124423.72157,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,2999,0.504499291809,0.504499291809,0.504499291809,0.504499291809,1508124038.09654,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,2999,0.504392072366,0.504392072366,0.504392072366,0.504392072366,1508123371.72661,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,2999,0.503482920859,0.503482920859,0.503482920859,0.503482920859,1508125650.06523,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
3000,999,0.503028016927,0.503028016927,0.503028016927,0.503028016927,1508130581.03305,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
4000,999,0.50254177351,0.50254177351,0.50254177351,0.50254177351,1508130937.2968,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,999,0.499469841639,0.499469841639,0.499469841639,0.499469841639,1508131420.45677,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,999,0.499209698526,0.499209698526,0.499209698526,0.499209698526,1508133211.31293,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,999,0.499154808067,0.499154808067,0.499154808067,0.499154808067,1508132470.0659,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,999,0.499104990348,0.499104990348,0.499104990348,0.499104990348,1508132039.6586,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,999,0.499100946911,0.499100946911,0.499100946911,0.499100946911,1508131609.73843,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
4000,2999,0.498548628963,0.498548628963,0.498548628963,0.498548628963,1508122998.13901,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,1499,0.495375652486,0.495375652486,0.495375652486,0.495375652486,1508129286.11711,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,1499,0.495077996014,0.495077996014,0.495077996014,0.495077996014,1508128578.2803,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,1999,0.494523821628,0.494523821628,0.494523821628,0.494523821628,1508123493.78624,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,1499,0.494426548089,0.494426548089,0.494426548089,0.494426548089,1508128833.52331,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,1999,0.494359740099,0.494359740099,0.494359740099,0.494359740099,1508125428.4518,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,1999,0.494311024762,0.494311024762,0.494311024762,0.494311024762,1508123811.97182,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,1999,0.494240846611,0.494240846611,0.494240846611,0.494240846611,1508125252.69947,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,1999,0.49393613479,0.49393613479,0.49393613479,0.49393613479,1508124590.07354,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
4000,1999,0.493936051164,0.493936051164,0.493936051164,0.493936051164,1508122716.2241,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,1499,0.493858846665,0.493789166856,0.493844910703,0.493858846665,1508128253.20517,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,1499,0.493017787715,0.493017787715,0.493017787715,0.493017787715,1508127623.42172,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
3000,1999,0.49252782004,0.492459741119,0.492514204256,0.49252782004,1508122587.87786,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
4000,1499,0.492205271553,0.492205271553,0.492205271553,0.492205271553,1508127127.49548,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
3000,1499,0.489504257318,0.489504257318,0.489504257318,0.489504257318,1508126654.82934,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,3999,0.487385884937,0.487385884937,0.487385884937,0.487385884937,1508121013.29227,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,4999,0.487171836318,0.487171836318,0.487171836318,0.487171836318,1508120505.26747,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,4999,0.486819401732,0.486819401732,0.486819401732,0.486819401732,1508120794.87491,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,3999,0.486529645529,0.486529645529,0.486529645529,0.486529645529,1508120249.72168,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,3999,0.486492240783,0.486492240783,0.486492240783,0.486492240783,1508119775.60993,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,3999,0.486349620862,0.486349620862,0.486349620862,0.486349620862,1508119049.35466,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,4999,0.485880819698,0.485880819698,0.485880819698,0.485880819698,1508120039.23531,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,3999,0.482772621385,0.482772621385,0.482772621385,0.482772621385,1508118564.29329,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,4999,0.481748598511,0.481709160629,0.481717048205,0.481709160629,1508119375.08278,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
2000,999,0.480376761405,0.480376761405,0.480376761405,0.480376761405,1508130224.38309,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
1500,999,0.479876135664,0.479876135664,0.479876135664,0.479876135664,1508129970.16364,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
500,499,0.473459302652,0.473459302652,0.473459302652,0.473459302652,1508133724.44195,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,299,0.463023386422,0.463023386422,0.463023386422,0.463023386422,1508140759.97011,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,299,0.463003596769,0.463003596769,0.463003596769,0.463003596769,1508140148.16988,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,299,0.462962761203,0.462962761203,0.462962761203,0.462962761203,1508140004.29373,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,299,0.462931320192,0.462931320192,0.462931320192,0.462931320192,1508139623.87865,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,299,0.462715906546,0.462715906546,0.462715906546,0.462715906546,1508139024.02387,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
4000,299,0.462594329599,0.462594329599,0.462594329599,0.462594329599,1508138550.03697,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
3000,299,0.462473308439,0.462473308439,0.462473308439,0.462473308439,1508138292.14197,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
4000,3999,0.461016882809,0.461016882809,0.461016882809,0.461016882809,1508118388.24987,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
1000,999,0.453230310468,0.453230310468,0.453230310468,0.453230310468,1508129726.44827,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
3000,2999,0.447932982814,0.447932982814,0.447932982814,0.447932982814,1508122615.3562,25010,1,25010,./proteins/gb1_dense/,ECOS,0.001,0
