K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
6000,-1,0.312788700243,0.312736888994,0.312778337993,0.312788700243,1508131058.69092,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
5000,-1,0.311429500942,0.311400136347,0.311406009266,0.311400136347,1508131265.71063,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
4000,-1,0.304739555444,0.304519330935,0.304695510542,0.304739555444,1508130847.95077,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
7000,-1,0.29893164707,0.29893164707,0.29893164707,0.29893164707,1508130526.64082,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
8000,-1,0.292820550577,0.290470549749,0.290940549915,0.290470549749,1508131503.36503,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
9000,-1,0.291985518316,0.291977708026,0.291979270084,0.291977708026,1508131746.87942,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
3000,-1,0.282912494915,0.282836742354,0.282851892866,0.282836742354,1508130723.87729,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
2000,-1,0.255333756657,0.255333756657,0.255333756657,0.255333756657,1508130159.51515,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
1500,-1,0.234857338183,0.234842924184,0.234845806984,0.234842924184,1508130562.32162,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
1000,-1,0.224322486787,0.224319775107,0.224320317443,0.224319775107,1508130208.19471,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
500,-1,0.211005145646,0.202862528979,0.209376622313,0.211005145646,1508129637.18947,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
100,-1,0.210339374908,0.210336126322,0.210336776039,0.210336126322,1508129875.74841,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
50,-1,0.208518868334,0.208506277314,0.208508795518,0.208506277314,1508129447.8061,25010,2,25010,./proteins/nsp1_dense/,ECOS,0.001,2
