K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
2000,999,0.511435527776,0.511435527776,0.511435527776,0.511435527776,1508134109.74602,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
100,99,0.507997789465,0.507997789465,0.507997789465,0.507997789465,1508145138.25294,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
6000,999,0.505260160146,0.505260160146,0.505260160146,0.505260160146,1508135788.33907,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
7000,999,0.505147379517,0.505022892418,0.505047789838,0.505022892418,1508136548.80088,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
1500,999,0.503510785219,0.503510785219,0.503510785219,0.503510785219,1508133929.96843,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
500,99,0.502671667656,0.502671667656,0.502671667656,0.502671667656,1508145342.33873,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
9000,299,0.501342073327,0.501342073327,0.501342073327,0.501342073327,1508144787.84259,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
7000,299,0.50115486552,0.50115486552,0.50115486552,0.50115486552,1508144165.48712,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
8000,299,0.501063872215,0.501063872215,0.501063872215,0.501063872215,1508144788.94366,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
6000,299,0.500928592768,0.500928592768,0.500928592768,0.500928592768,1508143373.97025,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
5000,299,0.500135502216,0.500135502216,0.500135502216,0.500135502216,1508142922.76399,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
5000,1499,0.499610857949,0.499600247868,0.499602369884,0.499600247868,1508131025.66762,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
4000,299,0.498767209535,0.498767209535,0.498767209535,0.498767209535,1508142486.35732,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
1500,99,0.497139400543,0.497139400543,0.497139400543,0.497139400543,1508145650.48065,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
3000,299,0.496265464471,0.496265464471,0.496265464471,0.496265464471,1508142243.55939,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
3000,999,0.496158828779,0.496120704114,0.496151203846,0.496158828779,1508134373.42206,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
2000,99,0.495587076535,0.495587076535,0.495587076535,0.495587076535,1508145875.95624,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
1000,999,0.493145373117,0.493145373117,0.493145373117,0.493145373117,1508133744.97495,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
2000,299,0.49291721214,0.49291721214,0.49291721214,0.49291721214,1508141852.68123,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
4000,1499,0.491323198808,0.491323198808,0.491323198808,0.491323198808,1508130693.90119,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
1500,299,0.490642684807,0.490642684807,0.490642684807,0.490642684807,1508141661.88009,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
6000,1499,0.489981459402,0.489981459402,0.489981459402,0.489981459402,1508131554.92695,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
7000,1499,0.489821606427,0.489692817821,0.489718575542,0.489692817821,1508132683.98489,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
3000,1499,0.489588053056,0.489588053056,0.489588053056,0.489588053056,1508130411.80763,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
4000,499,0.48954133589,0.48954133589,0.48954133589,0.48954133589,1508138742.6685,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
5000,999,0.4893999109,0.4893999109,0.4893999109,0.4893999109,1508135254.37869,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
9000,999,0.488776534922,0.457029270031,0.482427081943,0.488776534922,1508137026.97043,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
1000,299,0.488665273025,0.488665273025,0.488665273025,0.488665273025,1508141504.45885,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
3000,1999,0.488531628921,0.488531628921,0.488531628921,0.488531628921,1508125474.90582,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
9000,99,0.488078964438,0.487086866688,0.487880544888,0.488078964438,1508149199.85163,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
500,499,0.488062231536,0.488062231536,0.488062231536,0.488062231536,1508137415.37567,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
6000,99,0.487342080158,0.487342080158,0.487342080158,0.487342080158,1508147596.93002,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
500,299,0.487339898043,0.487339898043,0.487339898043,0.487339898043,1508141224.08895,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
7000,1999,0.487334402942,0.487273191258,0.487322160606,0.487334402942,1508128214.72338,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
7000,99,0.487147001576,0.473985284797,0.476617628153,0.473985284797,1508148026.00767,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
8000,99,0.487106063353,0.487106063353,0.487106063353,0.487106063353,1508148476.92461,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
6000,1999,0.487090049125,0.487076573475,0.487079268605,0.487076573475,1508127221.53134,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
8000,1499,0.486859294657,0.486804496589,0.486815456203,0.486804496589,1508132931.93631,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
9000,1499,0.486791105484,0.486791105484,0.486791105484,0.486791105484,1508133209.90179,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
5000,1999,0.486756213401,0.486756213401,0.486756213401,0.486756213401,1508126281.1398,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
5000,99,0.486735501957,0.486735501957,0.486735501957,0.486735501957,1508147043.5804,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
4000,1999,0.486711442619,0.486711442619,0.486711442619,0.486711442619,1508126029.20414,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
3000,99,0.486626635586,0.486626635586,0.486626635586,0.486626635586,1508146298.5622,25010,1,25010,./proteins/nsp1_dense/,ECOS,0.001,0
