K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
9000,-1,0.415803746024,0.415698927151,0.415719890926,0.415698927151,1508052349.65792,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
8000,-1,0.397297361621,0.39714266563,0.397266422423,0.397297361621,1508051382.45282,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
7000,-1,0.393077180869,0.393077180869,0.393077180869,0.393077180869,1508051805.46516,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
6000,100,0.382367546389,0.382290468147,0.382352130741,0.382367546389,1507494150.51779,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,100,0.382345551425,0.382345551425,0.382345551425,0.382345551425,1507489449.25471,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,-1,0.382234290002,0.382114815231,0.382210395048,0.382234290002,1508052623.40796,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
500,-1,0.358009862833,0.358009862833,0.358009862833,0.358009862833,1508051130.05864,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
1500,-1,0.35659282028,0.35659282028,0.35659282028,0.35659282028,1508052156.82496,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
1000,-1,0.355739392564,0.355739392564,0.355739392564,0.355739392564,1508051107.79536,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
2000,-1,0.354926685554,0.354926685554,0.354926685554,0.354926685554,1508052001.5124,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
5000,-1,0.354811622697,0.354629514423,0.354775201043,0.354811622697,1508051318.66475,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
50,-1,0.352898480562,0.352898480562,0.352898480562,0.352898480562,1508050865.03798,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
4000,-1,0.352871680723,0.352634447025,0.352824233984,0.352871680723,1508051976.26302,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
100,-1,0.341377820997,0.341377820997,0.341377820997,0.341377820997,1508050992.30458,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
3000,-1,0.328419055749,0.328250815269,0.328284463365,0.328250815269,1508051921.7625,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
