K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
9000,999,0.744741944459,0.744741944459,0.744741944459,0.744741944459,1508105832.4646,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,999,0.744360911652,0.744360911652,0.744360911652,0.744360911652,1508105676.30892,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,999,0.743065130438,0.743065130438,0.743065130438,0.743065130438,1508105402.97495,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,999,0.742407448809,0.742407448809,0.742407448809,0.742407448809,1508105643.1039,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,999,0.742194066704,0.742194066704,0.742194066704,0.742194066704,1508105011.45791,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,999,0.736879740442,0.736879740442,0.736879740442,0.736879740442,1508105081.52521,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,99,0.733954454696,0.733954454696,0.733954454696,0.733954454696,1508111007.75032,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,99,0.73154297475,0.73154297475,0.73154297475,0.73154297475,1508110643.13673,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
100,49,0.730842097838,0.730842097838,0.730842097838,0.730842097838,1508115214.58376,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
500,99,0.730300594645,0.730300594645,0.730300594645,0.730300594645,1508110620.11545,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,99,0.730254056311,0.730254056311,0.730254056311,0.730254056311,1508111424.41063,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1000,99,0.729853590518,0.729853590518,0.729853590518,0.729853590518,1508110646.23949,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1500,999,0.729601858516,0.729601858516,0.729601858516,0.729601858516,1508104806.50657,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1500,99,0.729564823434,0.729564823434,0.729564823434,0.729564823434,1508110782.853,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,100,0.728601307437,0.728522941742,0.728538614881,0.728522941742,1507439196.32471,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,99,0.728518656592,0.728518656592,0.728518656592,0.728518656592,1508111916.21313,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,99,0.728501297093,0.728501297093,0.728501297093,0.728501297093,1508112494.09015,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,99,0.728218961087,0.728218961087,0.728218961087,0.728218961087,1508113841.88946,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,99,0.728186797437,0.728112557429,0.728127405431,0.728112557429,1508113242.20881,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,99,0.728144712078,0.728144712078,0.728144712078,0.728144712078,1508114661.33421,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,49,0.727834898742,0.727649459779,0.727686547571,0.727649459779,1508115881.60491,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,49,0.726801787477,0.726801787477,0.726801787477,0.726801787477,1508116196.18303,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,49,0.726168427462,0.726061487345,0.726082875368,0.726061487345,1508116782.85243,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,49,0.72577013749,0.72577013749,0.72577013749,0.72577013749,1508117516.66645,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,49,0.725607356031,0.725607356031,0.725607356031,0.725607356031,1508119130.77646,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,49,0.725604861662,0.725604861662,0.725604861662,0.725604861662,1508118572.99393,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,49,0.725451368469,0.725451368469,0.725451368469,0.725451368469,1508118347.88841,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,49,0.725431558095,0.725431558095,0.725431558095,0.725431558095,1508117427.11152,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,999,0.723731220576,0.723731220576,0.723731220576,0.723731220576,1508105402.43164,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,499,0.723729284009,0.723729284009,0.723729284009,0.723729284009,1508106972.82468,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,499,0.723712584503,0.723712584503,0.723712584503,0.723712584503,1508107596.11059,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,499,0.72370232624,0.72370232624,0.72370232624,0.72370232624,1508107135.0435,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,499,0.722921997941,0.722921997941,0.722921997941,0.722921997941,1508107801.47542,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,999,0.721862974229,0.721862974229,0.721862974229,0.721862974229,1508105439.62519,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,499,0.720449273211,0.720189258849,0.720397270339,0.720449273211,1508107383.1828,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
500,49,0.716534839243,0.716534839243,0.716534839243,0.716534839243,1508115296.7208,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,499,0.71611000291,0.71611000291,0.71611000291,0.71611000291,1508106934.50933,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,499,0.715917059231,0.715917059231,0.715917059231,0.715917059231,1508106566.03193,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1500,49,0.71454524738,0.71454524738,0.71454524738,0.71454524738,1508115681.42533,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1000,49,0.714328349251,0.714328349251,0.714328349251,0.714328349251,1508115499.34838,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,1499,0.71119210438,0.71119210438,0.71119210438,0.71119210438,1508104386.84038,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,299,0.710894692475,0.710894692475,0.710894692475,0.710894692475,1508109987.65819,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1000,999,0.710820652845,0.710820652845,0.710820652845,0.710820652845,1508104855.41534,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,299,0.71072362663,0.71072362663,0.71072362663,0.71072362663,1508109819.96491,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,299,0.710654414219,0.710654414219,0.710654414219,0.710654414219,1508109635.72264,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,299,0.710037461575,0.710037461575,0.710037461575,0.710037461575,1508109469.09381,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,299,0.709128694435,0.709128694435,0.709128694435,0.709128694435,1508109430.49569,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,299,0.708744962847,0.708744962847,0.708744962847,0.708744962847,1508109027.98707,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,299,0.704795944639,0.704795944639,0.704795944639,0.704795944639,1508108833.82869,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,299,0.702931939657,0.702931939657,0.702931939657,0.702931939657,1508108576.59367,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
100,99,0.702257845543,0.702257845543,0.702257845543,0.702257845543,1508110336.313,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,1499,0.700596856023,0.700596856023,0.700596856023,0.700596856023,1508103845.46666,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,1499,0.699883850238,0.69976535608,0.699789054911,0.69976535608,1508103565.52056,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1500,299,0.688205798137,0.688205798137,0.688205798137,0.688205798137,1508108520.02972,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,1499,0.681700018857,0.681547552005,0.681578045376,0.681547552005,1508104130.16779,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,1499,0.679869978622,0.679869978622,0.679869978622,0.679869978622,1508103729.50802,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,1499,0.676872686443,0.676739800608,0.676766377775,0.676739800608,1508103999.13973,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,499,0.675358465317,0.675358465317,0.675358465317,0.675358465317,1508106663.18556,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1500,499,0.67463348261,0.67463348261,0.67463348261,0.67463348261,1508106592.29098,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1000,499,0.673955061929,0.673955061929,0.673955061929,0.673955061929,1508106329.06734,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1000,299,0.669414357298,0.669414357298,0.669414357298,0.669414357298,1508108305.33162,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,1499,0.66790311178,0.66790311178,0.66790311178,0.66790311178,1508103913.78715,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
500,299,0.66762256913,0.667617157281,0.667618239651,0.667617157281,1508108150.6445,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
1500,1499,0.666489829734,0.666489829734,0.666489829734,0.666489829734,1508103506.43285,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,1499,0.663983132129,0.663894807766,0.663912472639,0.663894807766,1508104383.31798,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
50,49,0.663124656546,0.663124656546,0.663124656546,0.663124656546,1508115089.23697,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
500,499,0.654563483236,0.654563483236,0.654563483236,0.654563483236,1508106134.43925,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,1999,0.653255383007,0.653238425008,0.653241816608,0.653238425008,1508103030.53633,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,1999,0.651525209444,0.651525209444,0.651525209444,0.651525209444,1508102900.98342,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,1999,0.649070452405,0.640224142167,0.641993404214,0.640224142167,1508102809.05983,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,1999,0.648757499172,0.648757499172,0.648757499172,0.648757499172,1508102520.75283,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,1999,0.641155908242,0.641116916396,0.641148109873,0.641155908242,1508102011.98049,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,2999,0.640115630816,0.640115630816,0.640115630816,0.640115630816,1508101609.67346,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,1999,0.639246057163,0.639246057163,0.639246057163,0.639246057163,1508102437.77349,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,1999,0.637638572356,0.637448800425,0.637600617969,0.637638572356,1508102528.68934,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,3999,0.635540189981,0.635480748166,0.635528301618,0.635540189981,1508100762.9744,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,1999,0.634276760669,0.634276760669,0.634276760669,0.634276760669,1508101993.6567,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,3999,0.626070686834,0.62604059103,0.626064667674,0.626070686834,1508100306.88419,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,2999,0.625563799697,0.625425153934,0.625536070545,0.625563799697,1508102529.63101,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,2999,0.624745579081,0.62460559421,0.624717582107,0.624745579081,1508102183.49385,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,2999,0.624137963393,0.623712341294,0.623797465714,0.623712341294,1508102141.32976,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,2999,0.623502888515,0.623502888515,0.623502888515,0.623502888515,1508102178.88396,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,2999,0.620944703131,0.620906593638,0.620937081232,0.620944703131,1508102808.94694,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,3999,0.61287860497,0.61287860497,0.61287860497,0.61287860497,1508100327.4655,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,3999,0.612295177919,0.612295177919,0.612295177919,0.612295177919,1508100328.84719,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,2999,0.610354747678,0.610344229529,0.610352644048,0.610354747678,1508101816.19188,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,3999,0.609972295715,0.609966301898,0.609971096951,0.609972295715,1508099931.52942,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,4999,0.607913679589,0.607892016253,0.60789634892,0.607892016253,1508100479.26108,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,4999,0.604538570191,0.604467315396,0.604481566355,0.604467315396,1508100835.6502,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,4999,0.604444009313,0.604444009313,0.604444009313,0.604444009313,1508101076.3342,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,3999,0.598844700747,0.598492243704,0.598774209339,0.598844700747,1508100684.04345,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,4999,0.590345337084,0.590203854325,0.590317040532,0.590345337084,1508099933.21876,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,4999,0.57913859778,0.57913859778,0.57913859778,0.57913859778,1508099711.19573,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
