K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
6000,100,0.728601307437,0.728522941742,0.728538614881,0.728522941742,1507439196.32471,25010,1,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,100,0.382345551425,0.382345551425,0.382345551425,0.382345551425,1507489449.25471,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,100,0.382367546389,0.382290468147,0.382352130741,0.382367546389,1507494150.51779,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,0
50,-1,0.352898480562,0.352898480562,0.352898480562,0.352898480562,1508050865.03798,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
100,-1,0.341377820997,0.341377820997,0.341377820997,0.341377820997,1508050992.30458,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
1000,-1,0.355739392564,0.355739392564,0.355739392564,0.355739392564,1508051107.79536,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
500,-1,0.358009862833,0.358009862833,0.358009862833,0.358009862833,1508051130.05864,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
5000,-1,0.354811622697,0.354629514423,0.354775201043,0.354811622697,1508051318.66475,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
8000,-1,0.397297361621,0.39714266563,0.397266422423,0.397297361621,1508051382.45282,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
7000,-1,0.393077180869,0.393077180869,0.393077180869,0.393077180869,1508051805.46516,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
3000,-1,0.328419055749,0.328250815269,0.328284463365,0.328250815269,1508051921.7625,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
4000,-1,0.352871680723,0.352634447025,0.352824233984,0.352871680723,1508051976.26302,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
2000,-1,0.354926685554,0.354926685554,0.354926685554,0.354926685554,1508052001.5124,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
1500,-1,0.35659282028,0.35659282028,0.35659282028,0.35659282028,1508052156.82496,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
9000,-1,0.415803746024,0.415698927151,0.415719890926,0.415698927151,1508052349.65792,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
6000,-1,0.382234290002,0.382114815231,0.382210395048,0.382234290002,1508052623.40796,25010,2,25010,./proteins/nup116_dense/,ECOS,0.001,2
4000,3999,0.460913341967,0.460873945514,0.460881824805,0.460873945514,1508079292.53587,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,4999,0.459303734663,0.459303734663,0.459303734663,0.459303734663,1508080449.24084,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,3999,0.50292565673,0.502845474806,0.50286151119,0.502845474806,1508080545.48644,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,3999,0.505956957575,0.5058242196,0.505850767195,0.5058242196,1508080725.04594,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,4999,0.507528263999,0.507523632454,0.50752733769,0.507528263999,1508080931.17177,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,4999,0.503493369147,0.503493369147,0.503493369147,0.503493369147,1508081297.77928,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,3999,0.508481606639,0.508481606639,0.508481606639,0.508481606639,1508081672.7146,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,4999,0.515992967302,0.515768614262,0.51581348487,0.515768614262,1508082155.98438,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,3999,0.518163036629,0.518163036629,0.518163036629,0.518163036629,1508082567.85189,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,4999,0.522397000195,0.522375936176,0.52238014898,0.522375936176,1508082575.20387,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,3999,0.524121672677,0.524121672677,0.524121672677,0.524121672677,1508082749.59685,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
2000,1999,0.563794260914,0.563794260914,0.563794260914,0.563794260914,1508084798.87766,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,2999,0.554334289734,0.554279303576,0.554290300808,0.554279303576,1508085515.54727,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,1999,0.527137454275,0.527128237805,0.527135610981,0.527137454275,1508086064.11942,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
3000,1999,0.533822976818,0.533822976818,0.533822976818,0.533822976818,1508086074.48105,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,2999,0.550146025714,0.550146025714,0.550146025714,0.550146025714,1508086600.46951,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,2999,0.507707746134,0.507663851322,0.507672630284,0.507663851322,1508086766.9137,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,1999,0.510853882576,0.510853882576,0.510853882576,0.510853882576,1508086875.85205,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,2999,0.51069802141,0.510604853384,0.510623486989,0.510604853384,1508087249.7305,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,1999,0.509702135101,0.509702135101,0.509702135101,0.509702135101,1508087336.99845,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,1999,0.506931221668,0.506931221668,0.506931221668,0.506931221668,1508087420.49855,25010,3,25010,./proteins/nup116_dense/,ECOS,0.001,0
