K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,solver,plambda,sigma
4000,-1,0.284839159133,0.284839159133,0.284839159133,0.284839159133,1508098318.03936,25010,2,25010,ECOS,0.001,2
5000,-1,0.283473110613,0.283473110613,0.283473110613,0.283473110613,1508098381.42204,25010,2,25010,ECOS,0.001,2
3000,-1,0.283362359264,0.283362359264,0.283362359264,0.283362359264,1508098387.50017,25010,2,25010,ECOS,0.001,2
9000,-1,0.276555190445,0.276440013621,0.276463048986,0.276440013621,1508098672.77618,25010,2,25010,ECOS,0.001,2
1500,-1,0.272703667386,0.272703667386,0.272703667386,0.272703667386,1508097884.1115,25010,2,25010,ECOS,0.001,2
6000,-1,0.271946948806,0.271850518412,0.271869804491,0.271850518412,1508098662.55069,25010,2,25010,ECOS,0.001,2
8000,-1,0.267543931469,0.267543931469,0.267543931469,0.267543931469,1508098898.53773,25010,2,25010,ECOS,0.001,2
7000,-1,0.264542657482,0.264542657482,0.264542657482,0.264542657482,1508098974.83983,25010,2,25010,ECOS,0.001,2
2000,-1,0.257197357757,0.257197357757,0.257197357757,0.257197357757,1508098345.48308,25010,2,25010,ECOS,0.001,2
50,-1,0.238511420362,0.237140475103,0.238237231311,0.238511420362,1508097670.13356,25010,2,25010,ECOS,0.001,2
100,-1,0.231175485829,0.231169107096,0.231170382842,0.231169107096,1508097882.18935,25010,2,25010,ECOS,0.001,2
1000,-1,0.227157284228,0.227157284228,0.227157284228,0.227157284228,1508097699.23832,25010,2,25010,ECOS,0.001,2
500,-1,0.22703862695,0.22703862695,0.22703862695,0.22703862695,1508097432.77485,25010,2,25010,ECOS,0.001,2
