K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
9000,1999,0.450015544096,0.449518129697,0.449617612577,0.449518129697,1508093749.21962,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,1499,0.444386165846,0.424457280848,0.428443057848,0.424457280848,1508096725.06368,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,1499,0.44376536792,0.44376536792,0.44376536792,0.44376536792,1508096162.63635,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1000,499,0.443321481628,0.443321481628,0.443321481628,0.443321481628,1508101170.69809,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,1499,0.443288348261,0.443288348261,0.443288348261,0.443288348261,1508095843.28078,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,1499,0.443181531655,0.443181531655,0.443181531655,0.443181531655,1508095570.59481,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,1499,0.443010276938,0.44299267823,0.443006757196,0.443010276938,1508095020.71787,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1500,499,0.440531651356,0.440531651356,0.440531651356,0.440531651356,1508101321.0247,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,499,0.440167415479,0.440167415479,0.440167415479,0.440167415479,1508101502.23099,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,1499,0.440020881532,0.440020881532,0.440020881532,0.440020881532,1508094512.24319,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,499,0.439403017164,0.439403017164,0.439403017164,0.439403017164,1508104057.4672,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,1499,0.439378072191,0.439378072191,0.439378072191,0.439378072191,1508094734.17731,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,499,0.439170684348,0.439170684348,0.439170684348,0.439170684348,1508103664.09406,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,499,0.439002728012,0.439002728012,0.439002728012,0.439002728012,1508103384.12918,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,499,0.43892772212,0.43892772212,0.43892772212,0.43892772212,1508102910.57274,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,1999,0.438035782723,0.437966829071,0.438021991992,0.438035782723,1508092998.26196,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,1999,0.437449225215,0.437449225215,0.437449225215,0.437449225215,1508090347.88964,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,1999,0.436030823646,0.436030823646,0.436030823646,0.436030823646,1508091055.27066,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,1999,0.435543810236,0.435543810236,0.435543810236,0.435543810236,1508091456.8542,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,499,0.43539880288,0.43539880288,0.43539880288,0.43539880288,1508102549.08184,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,499,0.435177460646,0.435177460646,0.435177460646,0.435177460646,1508102178.24792,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,499,0.43481321846,0.43481321846,0.43481321846,0.43481321846,1508101767.87235,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,2999,0.434313246206,0.434313246206,0.434313246206,0.434313246206,1508092373.71468,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,2999,0.432755389075,0.432755389075,0.432755389075,0.432755389075,1508093420.36531,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,999,0.432445794368,0.432419525218,0.432424779048,0.432419525218,1508098584.94952,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,2999,0.430710054146,0.430678246118,0.430684607724,0.430678246118,1508092799.33288,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,999,0.430358945087,0.430332803537,0.430353716777,0.430358945087,1508098138.20087,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1500,1499,0.429959437698,0.429896870777,0.429946924313,0.429959437698,1508094388.28311,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,999,0.42980753596,0.42980753596,0.42980753596,0.42980753596,1508097934.05389,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,1999,0.428503491691,0.428503491691,0.428503491691,0.428503491691,1508092054.29385,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,1999,0.428392156333,0.428392156333,0.428392156333,0.428392156333,1508092262.97291,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,2999,0.427838369912,0.42780874745,0.427814671942,0.42780874745,1508091713.43013,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1000,999,0.427425046207,0.427425046207,0.427425046207,0.427425046207,1508097623.15696,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,2999,0.427332010527,0.427332010527,0.427332010527,0.427332010527,1508090918.10086,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,2999,0.427092782981,0.427079352254,0.4270820384,0.427079352254,1508091413.16043,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1500,999,0.425589738179,0.425589738179,0.425589738179,0.425589738179,1508097747.92162,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,1999,0.423244608971,0.423226792701,0.423241045717,0.423244608971,1508090356.40247,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
500,299,0.422500232823,0.422500232823,0.422500232823,0.422500232823,1508104445.25173,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,2999,0.422096073786,0.422096073786,0.422096073786,0.422096073786,1508090605.50683,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
100,99,0.421533676586,0.421533676586,0.421533676586,0.421533676586,1508107998.96942,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,999,0.420392637956,0.420392637956,0.420392637956,0.420392637956,1508098843.85241,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,999,0.420267204176,0.420267204176,0.420267204176,0.420267204176,1508100642.33322,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,3999,0.420169233276,0.420169233276,0.420169233276,0.420169233276,1508089345.81789,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,999,0.420073653351,0.420073653351,0.420073653351,0.420073653351,1508100064.07278,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,999,0.419704417248,0.419704417248,0.419704417248,0.419704417248,1508099687.6216,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,999,0.419624034335,0.419624034335,0.419624034335,0.419624034335,1508099527.95233,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,3999,0.416974670962,0.416496320874,0.416591990891,0.416496320874,1508088629.07776,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,299,0.416956637112,0.416828598421,0.416854206159,0.416828598421,1508105254.41122,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,4999,0.414714955522,0.414603682645,0.41462593722,0.414603682645,1508089173.20499,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
