K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,,,,,,,,,,
600,12.6,0.303747985226,0.303576492824,0.303713686746,0.303747985226,,,,,,,,,,
600,13.8,0.303589289636,0.303046811776,0.303155307348,0.303046811776,,,,,,,,,,
600,14.6,0.303113243218,0.303113243218,0.303113243218,0.303113243218,,,,,,,,,,
600,14.4,0.30295289219,0.30295289219,0.30295289219,0.30295289219,,,,,,,,,,
600,12,0.302824321377,0.302824321377,0.302824321377,0.302824321377,,,,,,,,,,
600,14,0.30264456673,0.30264456673,0.30264456673,0.30264456673,,,,,,,,,,
500,7,0.264810310389,0.263152642486,0.263484176067,0.263152642486,,,,,,,,,,
500,7.5,0.263141204936,0.263068450627,0.263126654074,0.263141204936,,,,,,,,,,
440,13.5,0.232319493678,0.232319493678,0.232319493678,0.232319493678,,,,,,,,,,
440,11.9,0.230932680842,0.230906925917,0.230927529857,0.230932680842,,,,,,,,,,
440,12.1,0.230687077282,0.23015765342,0.23058119251,0.230687077282,,,,,,,,,,
440,5.5,0.135413668106,0.135092679997,0.135156877619,0.135092679997,,,,,,,,,,
200,11.7,0.128341512067,0.127358995897,0.128145008833,0.128341512067,,,,,,,,,,
380,5.5,0.12788137648,0.127608851698,0.127826871524,0.12788137648,,,,,,,,,,
200,14.6,0.127286137897,0.127111702452,0.127146589541,0.127111702452,,,,,,,,,,
200,14.2,0.126755817884,0.126193198544,0.126305722412,0.126193198544,,,,,,,,,,
200,12.6,0.126701912009,0.12648212062,0.126526078898,0.12648212062,,,,,,,,,,
200,13.5,0.126676703457,0.115912445804,0.118065297335,0.115912445804,,,,,,,,,,
500,3,0.126616294763,0.12274341615,0.123517991873,0.12274341615,,,,,,,,,,
200,14,0.126366175824,0.125960979209,0.126285136501,0.126366175824,,,,,,,,,,
520,3,0.126314983527,0.126216176571,0.126295222136,0.126314983527,,,,,,,,,,
500,7.7,0.125868121927,0.125637706834,0.125822038908,0.125868121927,,,,,,,,,,
200,12.3,0.125369465255,0.124169267907,0.124409307376,0.124169267907,,,,,,,,,,
