K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice
200,70,0.531402630347,0.531402630347,0.531402630347,0.531402630347,3
80,70,0.507666180905,0.507666180905,0.507666180905,0.507666180905,3
400,70,0.489683167901,0.489683167901,0.489683167901,0.489683167901,3
250,70,0.539384033366,0.539384033366,0.539384033366,0.539384033366,3
300,70,0.534017490864,0.534017490864,0.534017490864,0.534017490864,3
600,70,0.463557321391,0.462849975848,0.463415852283,0.463557321391,3
76,70,0.505271444887,0.505271444887,0.505271444887,0.505271444887,3
150,70,0.511871822406,0.511871822406,0.511871822406,0.511871822406,3
71,70,0.543167087203,0.543167087203,0.543167087203,0.543167087203,3
500,70,0.478434980729,0.478434980729,0.478434980729,0.478434980729,3
150,115,0.511228479003,0.511228479003,0.511228479003,0.511228479003,3
500,115,0.476784861402,0.474928313449,0.475299623039,0.474928313449,3
600,115,0.461379662443,0.461020964785,0.461307922911,0.461379662443,3
200,115,0.526996837738,0.526996837738,0.526996837738,0.526996837738,3
300,115,0.532951535758,0.532951535758,0.532951535758,0.532951535758,3
250,115,0.540217131679,0.540217131679,0.540217131679,0.540217131679,3
400,115,0.502419481999,0.502419481999,0.502419481999,0.502419481999,3
200,125,0.52225665231,0.52225665231,0.52225665231,0.52225665231,3
300,125,0.532951535758,0.532951535758,0.532951535758,0.532951535758,3
600,125,0.459141806356,0.459039276654,0.459059782595,0.459039276654,3
250,125,0.539645285837,0.539645285837,0.539645285837,0.539645285837,3
150,125,0.511228479003,0.511228479003,0.511228479003,0.511228479003,3
500,125,0.474548281313,0.474162465215,0.474239628435,0.474162465215,3
400,125,0.504114350974,0.504068390493,0.504077582589,0.504068390493,3
250,105,0.541083251203,0.541083251203,0.541083251203,0.541083251203,3
300,105,0.535039221455,0.535039221455,0.535039221455,0.535039221455,3
150,105,0.511507460372,0.511507460372,0.511507460372,0.511507460372,3
500,105,0.477618539648,0.477393092608,0.47757345024,0.477618539648,3
400,105,0.503029340697,0.50200440742,0.502824354042,0.503029340697,3
200,105,0.52725636542,0.52725636542,0.52725636542,0.52725636542,3
600,105,0.461784911865,0.460739580344,0.46157584556,0.461784911865,3
76,75,0.501297578738,0.501297578738,0.501297578738,0.501297578738,3
400,149,0.506238406793,0.505654386531,0.50612160274,0.506238406793,3
600,199,0.464371164601,0.464311837957,0.464359299272,0.464371164601,3
300,299,0.529038904305,0.529038904305,0.529038904305,0.529038904305,3
400,249,0.51627437897,0.51553765863,0.515685002698,0.51553765863,3
500,499,0.45906372569,0.458495119813,0.458608840988,0.458495119813,3
500,399,0.493396418551,0.493056974437,0.49312486326,0.493056974437,3
600,599,0.459533521769,0.459049003155,0.459436618046,0.459533521769,3
250,70,0.539384033366,0.539384033366,0.539384033366,0.539384033366,3
150,70,0.511871822406,0.511871822406,0.511871822406,0.511871822406,3
71,70,0.543167087203,0.543167087203,0.543167087203,0.543167087203,3
76,70,0.505271444887,0.505271444887,0.505271444887,0.505271444887,3
300,70,0.534017490864,0.534017490864,0.534017490864,0.534017490864,3
400,70,0.489683167901,0.489683167901,0.489683167901,0.489683167901,3
80,70,0.507666180905,0.507666180905,0.507666180905,0.507666180905,3
200,70,0.531402630347,0.531402630347,0.531402630347,0.531402630347,3
600,70,0.463188354254,0.462910521449,0.463132787693,0.463188354254,3
500,70,0.478434980729,0.477912656135,0.478017121054,0.477912656135,3
200,115,0.526996837738,0.526996837738,0.526996837738,0.526996837738,3
250,115,0.540217131679,0.540217131679,0.540217131679,0.540217131679,3
300,115,0.532951535758,0.532951535758,0.532951535758,0.532951535758,3
500,115,0.476556088695,0.476556088695,0.476556088695,0.476556088695,3
150,115,0.511228479003,0.511228479003,0.511228479003,0.511228479003,3
400,115,0.503116896602,0.503046351959,0.503060460887,0.503046351959,3
600,115,0.462570440581,0.461402495233,0.462336851511,0.462570440581,3
250,125,0.539645285837,0.539645285837,0.539645285837,0.539645285837,3
300,125,0.532951535758,0.532951535758,0.532951535758,0.532951535758,3
200,125,0.52225665231,0.52225665231,0.52225665231,0.52225665231,3
400,125,0.504181658928,0.503497717516,0.504044870646,0.504181658928,3
500,125,0.474548281313,0.474548281313,0.474548281313,0.474548281313,3
150,125,0.511228479003,0.511228479003,0.511228479003,0.511228479003,3
600,125,0.460559231371,0.457770463432,0.45832821702,0.457770463432,3
250,105,0.541083251203,0.541083251203,0.541083251203,0.541083251203,3
300,105,0.535039221455,0.535039221455,0.535039221455,0.535039221455,3
200,105,0.52781878763,0.52725636542,0.527706303188,0.52781878763,3
400,105,0.502847419969,0.50200440742,0.50217300993,0.50200440742,3
500,105,0.477393092608,0.477393092608,0.477393092608,0.477393092608,3
150,105,0.511507460372,0.511507460372,0.511507460372,0.511507460372,3
600,105,0.461784911865,0.461784911865,0.461784911865,0.461784911865,3
80,75,0.500713843138,0.500713843138,0.500713843138,0.500713843138,3
76,75,0.501297578738,0.501297578738,0.501297578738,0.501297578738,3
200,75,0.530158496952,0.530158496952,0.530158496952,0.530158496952,3
150,75,0.513784833724,0.513784833724,0.513784833724,0.513784833724,3
300,75,0.520942402761,0.520942402761,0.520942402761,0.520942402761,3
500,75,0.479846524457,0.479846524457,0.479846524457,0.479846524457,3
