K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,,,,,,,,,,,
140,3,0.636022500893,0.636022500893,0.636022500893,0.636022500893,,,,,,,,,,,
140,3,0.636022500893,0.636022500893,0.636022500893,0.636022500893,,,,,,,,,,,
150,3,0.635924830814,0.635924830814,0.635924830814,0.635924830814,,,,,,,,,,,
150,3,0.635924830814,0.635924830814,0.635924830814,0.635924830814,,,,,,,,,,,
160,1.5,0.635426684035,0.635426684035,0.635426684035,0.635426684035,,,,,,,,,,,
160,1.5,0.635426684035,0.634011811567,0.635143709541,0.635426684035,,,,,,,,,,,
120,2.5,0.633758239454,0.633758239454,0.633758239454,0.633758239454,,,,,,,,,,,/
120,2.5,0.632785850019,0.632231611376,0.632342459105,0.632231611376,,,,,,,,,,,
600,1.5,0.632268859116,0.631785173962,0.631881910992,0.631785173962,,,,,,,,,,,
600,1.5,0.631785173962,0.631785173962,0.631785173962,0.631785173962,,,,,,,,,,,
160,3,0.631295386074,0.630056244133,0.631047557686,0.631295386074,,,,,,,,,,,
130,3,0.631127426493,0.631127426493,0.631127426493,0.631127426493,,,,,,,,,,,
130,3,0.631127426493,0.631127426493,0.631127426493,0.631127426493,,,,,,,,,,,
160,3,0.629433973753,0.629433973753,0.629433973753,0.629433973753,,,,,,,,,,,
150,1.5,0.629303435307,0.629303435307,0.629303435307,0.629303435307,,,,,,,,,,,
560,1.5,0.629293370558,0.628559126779,0.629146521802,0.629293370558,,,,,,,,,,,
360,1.5,0.628758290372,0.628519354058,0.628710503109,0.628758290372,,,,,,,,,,,
150,1.5,0.628722342367,0.628722342367,0.628722342367,0.628722342367,,,,,,,,,,,
140,3.5,0.628686958182,0.628447886112,0.628639143768,0.628686958182,,,,,,,,,,,
140,3.5,0.628447886112,0.628447886112,0.628447886112,0.628447886112,,,,,,,,,,,
560,1.5,0.629669718024,0.628395442606,0.62865029769,0.628395442606,,,,,,,,,,,
360,1.5,0.628519354058,0.628325973559,0.628364649658,0.628325973559,,,,,,,,,,,
600,1.1,0.628587929942,0.628173492404,0.628256379912,0.628173492404,,,,,,,,,,,
600,1.1,0.628173492404,0.628173492404,0.628173492404,0.628173492404,,,,,,,,,,,
600,1.1,0.628173492404,0.62789035329,0.628116864581,0.628173492404,,,,,,,,,,,
160,3.5,0.628018667774,0.628018667774,0.628018667774,0.628018667774,,,,,,,,,,,
160,3.5,0.628018667774,0.628018667774,0.628018667774,0.628018667774,,,,,,,,,,,
520,1.5,0.62752089687,0.627291603161,0.627475038128,0.62752089687,,,,,,,,,,,
520,1.5,0.626924755255,0.626924755255,0.626924755255,0.626924755255,,,,,,,,,,,
380,1.5,0.625680132401,0.623957249721,0.625335555865,0.625680132401,,,,,,,,,,,
140,4,0.625501174674,0.625501174674,0.625501174674,0.625501174674,,,,,,,,,,,
140,4,0.625501174674,0.625501174674,0.625501174674,0.625501174674,,,,,,,,,,,
500,1.1,0.625423647172,0.624458969778,0.625230711693,0.625423647172,,,,,,,,,,,
500,1.1,0.625423647172,0.625423647172,0.625423647172,0.625423647172,,,,,,,,,,,
120,3,0.624873955895,0.624873955895,0.624873955895,0.624873955895,,,,,,,,,,,
120,3,0.624873955895,0.624873955895,0.624873955895,0.624873955895,,,,,,,,,,,
500,1.5,0.624839064429,0.624839064429,0.624839064429,0.624839064429,,,,,,,,,,,
500,1.5,0.624839064429,0.624434734548,0.624758198453,0.624839064429,,,,,,,,,,,
500,1.1,0.624458969778,0.624458969778,0.624458969778,0.624458969778,,,,,,,,,,,
520,1.1,0.624023309284,0.624023309284,0.624023309284,0.624023309284,,,,,,,,,,,
380,1.5,0.623885623548,0.623639289898,0.623836356818,0.623885623548,,,,,,,,,,,
400,1.1,0.62377318584,0.621884323619,0.623395413396,0.62377318584,,,,,,,,,,,
400,1.1,0.62377318584,0.622987763864,0.623616101445,0.62377318584,,,,,,,,,,,
520,1.1,0.624023309284,0.623450838309,0.623565332504,0.623450838309,,,,,,,,,,,
520,1.1,0.623450838309,0.623450838309,0.623450838309,0.623450838309,,,,,,,,,,,
560,1.1,0.623395628165,0.62192861319,0.62310222517,0.623395628165,,,,,,,,,,,
120,3.5,0.623272656141,0.623272656141,0.623272656141,0.623272656141,,,,,,,,,,,
120,3.5,0.623272656141,0.623272656141,0.623272656141,0.623272656141,,,,,,,,,,,
