K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
90,9.5,0.340792127467,0.318077806262,0.322620670503,0.318077806262,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
90,8.3,0.318704674898,0.308896061873,0.310857784478,0.308896061873,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
90,8,0.315809461441,0.299614642368,0.302853606183,0.299614642368,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
90,8.1,0.315528218552,0.315399217924,0.315502418426,0.315528218552,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
50,2.5,0.193529418159,0.192025677482,0.193228670024,0.193529418159,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
60,2,0.193285312687,0.192370546795,0.193102359509,0.193285312687,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
60,2.5,0.193101020745,0.192418844965,0.192964585589,0.193101020745,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
40,13.5,0.191307159102,0.18769741824,0.19058521093,0.191307159102,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
40,11.5,0.188515615332,0.182901816559,0.187392855577,0.188515615332,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
35,7.7,0.187449222889,0.185714543103,0.18606147906,0.185714543103,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
40,13.5,0.187097504707,0.186008350767,0.186226181555,0.186008350767,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
35,12.1,0.186393917831,0.175956508454,0.17804399033,0.175956508454,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
40,4,0.18628152045,0.185894166421,0.186204049645,0.18628152045,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
35,9,0.185715085279,0.182088877849,0.182814119335,0.182088877849,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
40,10,0.185503220559,0.181013475007,0.184605271449,0.185503220559,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
35,11.5,0.185263591804,0.18463663698,0.184762027945,0.18463663698,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
35,14,0.185058079447,0.177682137672,0.179157326027,0.177682137672,10,1,0,2510,./proteins/gb1_sparse/,plain_aff
