K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,in_file,aff_type
90,-1,2,0.367635907772,0.366252304145,0.367359187047,0.367635907772,10,2,./proteins/gb1_sparse/,plain_aff
85,-1,2,0.367544335853,0.3657080447,0.367177077622,0.367544335853,10,2,./proteins/gb1_sparse/,plain_aff
80,-1,2,0.366789136265,0.365234873524,0.365545726072,0.365234873524,10,2,./proteins/gb1_sparse/,plain_aff
75,-1,2,0.362098120593,0.357987382477,0.36127597297,0.362098120593,10,2,./proteins/gb1_sparse/,plain_aff
70,-1,2,0.348529380382,0.338684871833,0.340653773543,0.338684871833,10,2,./proteins/gb1_sparse/,plain_aff
65,-1,2,0.340045890816,0.333921236086,0.335146167032,0.333921236086,10,2,./proteins/gb1_sparse/,plain_aff
60,-1,2,0.346645255466,0.344298389131,0.346175882199,0.346645255466,10,2,./proteins/gb1_sparse/,plain_aff
55,-1,2,0.351040370491,0.350138726268,0.350860041646,0.351040370491,10,2,./proteins/gb1_sparse/,plain_aff
50,-1,2,0.34971355559,0.345244940091,0.346138663191,0.345244940091,10,2,./proteins/gb1_sparse/,plain_aff
45,-1,2,0.35300344216,0.349254947424,0.352253743213,0.35300344216,10,2,./proteins/gb1_sparse/,plain_aff
40,-1,2,0.368073452596,0.358310537331,0.366120869543,0.368073452596,10,2,./proteins/gb1_sparse/,plain_aff
35,-1,2,0.358360235682,0.358360235682,0.358360235682,0.358360235682,10,2,./proteins/gb1_sparse/,plain_aff
30,-1,2,0.370877021472,0.370564708864,0.370627171386,0.370564708864,10,2,./proteins/gb1_sparse/,plain_aff
25,-1,2,0.377931610056,0.377931610056,0.377931610056,0.377931610056,10,2,./proteins/gb1_sparse/,plain_aff
24,-1,2,0.379348740307,0.379348740307,0.379348740307,0.379348740307,10,2,./proteins/gb1_sparse/,plain_aff
23,-1,2,0.374925696288,0.374925696288,0.374925696288,0.374925696288,10,2,./proteins/gb1_sparse/,plain_aff
22,-1,2,0.377866324788,0.377866324788,0.377866324788,0.377866324788,10,2,./proteins/gb1_sparse/,plain_aff
21,-1,2,0.372002282393,0.372002282393,0.372002282393,0.372002282393,10,2,./proteins/gb1_sparse/,plain_aff
20,-1,2,0.371533036604,0.371533036604,0.371533036604,0.371533036604,10,2,./proteins/gb1_sparse/,plain_aff
19,-1,2,0.373982283743,0.373982283743,0.373982283743,0.373982283743,10,2,./proteins/gb1_sparse/,plain_aff
18,-1,2,0.371940779191,0.371940779191,0.371940779191,0.371940779191,10,2,./proteins/gb1_sparse/,plain_aff
17,-1,2,0.372557843737,0.372557843737,0.372557843737,0.372557843737,10,2,./proteins/gb1_sparse/,plain_aff
16,-1,2,0.373850705307,0.373850705307,0.373850705307,0.373850705307,10,2,./proteins/gb1_sparse/,plain_aff
15,-1,2,0.375460952292,0.375460952292,0.375460952292,0.375460952292,10,2,./proteins/gb1_sparse/,plain_aff
14,-1,2,0.350837671139,0.350837671139,0.350837671139,0.350837671139,10,2,./proteins/gb1_sparse/,plain_aff
13,-1,2,0.350056598532,0.349133160984,0.349871911022,0.350056598532,10,2,./proteins/gb1_sparse/,plain_aff
12,-1,2,0.349552519619,0.349552519619,0.349552519619,0.349552519619,10,2,./proteins/gb1_sparse/,plain_aff
11,-1,2,0.348172106906,0.347782961143,0.348094277753,0.348172106906,10,2,./proteins/gb1_sparse/,plain_aff
10,-1,2,0.372935830651,0.372935830651,0.372935830651,0.372935830651,10,2,./proteins/gb1_sparse/,plain_aff
9,-1,2,0.364580786631,0.364580786631,0.364580786631,0.364580786631,10,2,./proteins/gb1_sparse/,plain_aff
8,-1,2,0.372462229239,0.372462229239,0.372462229239,0.372462229239,10,2,./proteins/gb1_sparse/,plain_aff
7,-1,2,0.386078498617,0.386078498617,0.386078498617,0.386078498617,10,2,./proteins/gb1_sparse/,plain_aff
6,-1,2,0.378037793522,0.378037793522,0.378037793522,0.378037793522,10,2,./proteins/gb1_sparse/,plain_aff
5,-1,2,0.366250480616,0.366250480616,0.366250480616,0.366250480616,10,2,./proteins/gb1_sparse/,plain_aff
90,3,0,0.265922507065,0.265408411582,0.265819687968,0.265922507065,10,1,./proteins/gb1_sparse/,entropic_aff
85,3,0,0.265408411582,0.265408411582,0.265408411582,0.265408411582,10,1,./proteins/gb1_sparse/,entropic_aff
80,3,0,0.265408411582,0.265408411582,0.265408411582,0.265408411582,10,1,./proteins/gb1_sparse/,entropic_aff
75,3,0,0.265922507065,0.265922507065,0.265922507065,0.265922507065,10,1,./proteins/gb1_sparse/,entropic_aff
70,3,0,0.265408411582,0.262527814803,0.264832292226,0.265408411582,10,1,./proteins/gb1_sparse/,entropic_aff
65,3,0,0.265922507065,0.265408411582,0.265819687968,0.265922507065,10,1,./proteins/gb1_sparse/,entropic_aff
60,3,0,0.265922507065,0.265408411582,0.265511230678,0.265408411582,10,1,./proteins/gb1_sparse/,entropic_aff
55,3,0,0.265408411582,0.265408411582,0.265408411582,0.265408411582,10,1,./proteins/gb1_sparse/,entropic_aff
50,3,0,0.266468494817,0.266468494817,0.266468494817,0.266468494817,10,1,./proteins/gb1_sparse/,entropic_aff
45,3,0,0.266468494817,0.266468494817,0.266468494817,0.266468494817,10,1,./proteins/gb1_sparse/,entropic_aff
40,3,0,0.266468494817,0.265408411582,0.26625647817,0.266468494817,10,1,./proteins/gb1_sparse/,entropic_aff
35,3,0,0.266120426379,0.263580044301,0.265612349963,0.266120426379,10,1,./proteins/gb1_sparse/,entropic_aff
30,3,0,0.266468494817,0.266468494817,0.266468494817,0.266468494817,10,1,./proteins/gb1_sparse/,entropic_aff
25,3,0,0.275969119781,0.275969119781,0.275969119781,0.275969119781,10,1,./proteins/gb1_sparse/,entropic_aff
24,3,0,0.276795471713,0.275969119781,0.276630201327,0.276795471713,10,1,./proteins/gb1_sparse/,entropic_aff
23,3,0,0.27562546497,0.27562546497,0.27562546497,0.27562546497,10,1,./proteins/gb1_sparse/,entropic_aff
22,3,0,0.276795471713,0.275969119781,0.276630201327,0.276795471713,10,1,./proteins/gb1_sparse/,entropic_aff
21,3,0,0.275969119781,0.275969119781,0.275969119781,0.275969119781,10,1,./proteins/gb1_sparse/,entropic_aff
20,3,0,0.276795471713,0.276795471713,0.276795471713,0.276795471713,10,1,./proteins/gb1_sparse/,entropic_aff
19,3,0,0.276795471713,0.276795471713,0.276795471713,0.276795471713,10,1,./proteins/gb1_sparse/,entropic_aff
18,3,0,0.276795471713,0.276795471713,0.276795471713,0.276795471713,10,1,./proteins/gb1_sparse/,entropic_aff
17,3,0,0.27571797187,0.27571797187,0.27571797187,0.27571797187,10,1,./proteins/gb1_sparse/,entropic_aff
16,3,0,0.276152126223,0.276152126223,0.276152126223,0.276152126223,10,1,./proteins/gb1_sparse/,entropic_aff
