K_cap,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
40,0.470387189219,0.450899373054,0.454796936287,0.450899373054,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
45,0.468517808139,0.465428338308,0.467899914172,0.468517808139,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
12,0.456459068395,0.456459068395,0.456459068395,0.456459068395,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
15,0.456458634572,0.443787131602,0.446321432196,0.443787131602,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
10,0.455925920943,0.455925920943,0.455925920943,0.455925920943,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
14,0.455511847666,0.455511847666,0.455511847666,0.455511847666,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
16,0.45256055583,0.45256055583,0.45256055583,0.45256055583,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
5,0.452022810659,0.452022810659,0.452022810659,0.452022810659,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
50,0.451896189226,0.450627060977,0.451642363576,0.451896189226,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
8,0.446940824457,0.446940824457,0.446940824457,0.446940824457,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
35,0.444900370784,0.444900370784,0.444900370784,0.444900370784,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
9,0.442086295403,0.442086295403,0.442086295403,0.442086295403,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
6,0.441847332789,0.441847332789,0.441847332789,0.441847332789,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
7,0.441763431788,0.441763431788,0.441763431788,0.441763431788,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
13,0.439682123534,0.430997596385,0.432734501815,0.430997596385,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
25,0.438738477305,0.437796127541,0.438550007352,0.438738477305,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
20,0.437767969597,0.430249581976,0.436264292073,0.437767969597,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
19,0.437062967022,0.437062967022,0.437062967022,0.437062967022,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
24,0.435716229096,0.435716229096,0.435716229096,0.435716229096,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
17,0.435441603871,0.435441603871,0.435441603871,0.435441603871,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
30,0.43368904838,0.43368904838,0.43368904838,0.43368904838,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
18,0.432682727666,0.432682727666,0.432682727666,0.432682727666,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
23,0.432170637858,0.4302775515,0.430656168772,0.4302775515,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
22,0.430964084501,0.430964084501,0.430964084501,0.430964084501,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
21,0.43064853567,0.43064853567,0.43064853567,0.43064853567,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
11,0.422194805036,0.422194805036,0.422194805036,0.422194805036,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
65,0.411399180098,0.4038866256,0.4053891365,0.4038866256,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
60,0.411219898955,0.40217341534,0.403982712063,0.40217341534,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
70,0.403862000273,0.398089411317,0.402707482482,0.403862000273,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
55,0.401769463021,0.393797593387,0.395391967314,0.393797593387,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
75,0.394169142895,0.37834074683,0.381506426043,0.37834074683,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
80,0.379003213558,0.375528957204,0.378308362287,0.379003213558,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
85,0.375417563004,0.369770201465,0.370899673773,0.369770201465,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
90,0.37478826688,0.369368922673,0.370452791514,0.369368922673,10,2,0,2510,./proteins/nsp1_sparse/,plain_aff
