K_cap,k_low,-,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
30,24,0.479709614908,0.479709614908,0.479709614908,0.479709614908,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,20,0.478216812062,0.471946731727,0.473200747794,0.471946731727,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,30,0.478109876741,0.46968764546,0.471372091717,0.46968764546,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,20,0.473331935458,0.473331935458,0.473331935458,0.473331935458,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,19,0.470164001301,0.470164001301,0.470164001301,0.470164001301,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,22,0.470062632266,0.470062632266,0.470062632266,0.470062632266,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,22,0.468411879277,0.468411879277,0.468411879277,0.468411879277,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,20,0.464928937274,0.462907887463,0.463312097425,0.462907887463,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,16,0.464158929844,0.457948248762,0.462916793628,0.464158929844,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,22,0.462724459958,0.462724459958,0.462724459958,0.462724459958,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,24,0.460481324163,0.460477175951,0.460478005594,0.460477175951,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,35,0.45720468464,0.432321420574,0.437298073387,0.432321420574,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,19,0.456256289554,0.456222446079,0.456249520859,0.456256289554,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,19,0.456222446079,0.456222446079,0.456222446079,0.456222446079,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,22,0.456104283079,0.453492905702,0.454015181177,0.453492905702,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,30,0.455255680983,0.453106950892,0.454825934965,0.455255680983,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
13,12,0.45453641928,0.45074269813,0.45377767505,0.45453641928,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,27,0.453934145503,0.433187444597,0.449784805322,0.453934145503,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,24,0.453492905702,0.450155528062,0.45082300359,0.450155528062,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,30,0.453106950892,0.436592293984,0.439895225366,0.436592293984,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,30,0.453106950892,0.451737378006,0.452833036315,0.453106950892,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,18,0.452943428071,0.443632622089,0.451081266875,0.452943428071,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,22,0.452287856189,0.452287856189,0.452287856189,0.452287856189,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,35,0.452238184159,0.452238184159,0.452238184159,0.452238184159,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,35,0.450697897043,0.407319220435,0.415994955757,0.407319220435,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,12,0.450302435461,0.439004679584,0.448042884286,0.450302435461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,20,0.448200850156,0.448200850156,0.448200850156,0.448200850156,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,35,0.44724980071,0.43067987653,0.443935815874,0.44724980071,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,17,0.44717177384,0.44024149708,0.441627552432,0.44024149708,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,18,0.44688816923,0.44688816923,0.44688816923,0.44688816923,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,40,0.446685971419,0.406515637098,0.438651904555,0.446685971419,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,19,0.446088637375,0.443705279359,0.444181950962,0.443705279359,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,40,0.445705036814,0.445543939642,0.445576159076,0.445543939642,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,40,0.445705036814,0.440035943245,0.441169761959,0.440035943245,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,45,0.445234877503,0.432977207557,0.435428741546,0.432977207557,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
15,12,0.445055105621,0.436594449039,0.438286580355,0.436594449039,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,17,0.443909499107,0.436860404698,0.43827022358,0.436860404698,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,27,0.443758502033,0.44327628844,0.443662059315,0.443758502033,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,40,0.443299361652,0.443299361652,0.443299361652,0.443299361652,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,20,0.443185955842,0.432730376375,0.434821492269,0.432730376375,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,27,0.443031684696,0.441363971907,0.442698142138,0.443031684696,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,45,0.442997876584,0.43804661196,0.439036864885,0.43804661196,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,13,0.442924218426,0.442924218426,0.442924218426,0.442924218426,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,14,0.442924218426,0.435919869378,0.437320739188,0.435919869378,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,35,0.442601290701,0.43985117645,0.442051267851,0.442601290701,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,18,0.44183258493,0.44183258493,0.44183258493,0.44183258493,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,19,0.44183258493,0.44183258493,0.44183258493,0.44183258493,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,18,0.441356664109,0.436238153267,0.44033296194,0.441356664109,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,17,0.440931679908,0.432967063479,0.439338756622,0.440931679908,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,20,0.440865225784,0.439022438506,0.440496668328,0.440865225784,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,17,0.440728371162,0.439128645612,0.439448590722,0.439128645612,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,15,0.440541208086,0.431004870044,0.438633940477,0.440541208086,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,17,0.43990474678,0.439816717171,0.439887140858,0.43990474678,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,19,0.439855587736,0.439855587736,0.439855587736,0.439855587736,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,20,0.439855587736,0.439855587736,0.439855587736,0.439855587736,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,35,0.43985117645,0.43985117645,0.43985117645,0.43985117645,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,35,0.43985117645,0.438639789433,0.439608899047,0.43985117645,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,40,0.439825418949,0.430054508667,0.432008690723,0.430054508667,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,45,0.439722192391,0.437478330379,0.439273419988,0.439722192391,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,50,0.439646777413,0.433070776975,0.438331577325,0.439646777413,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,30,0.439113175993,0.435941803096,0.436576077675,0.435941803096,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
14,12,0.439043194035,0.439043194035,0.439043194035,0.439043194035,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,18,0.438723439024,0.438723439024,0.438723439024,0.438723439024,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,27,0.438205935047,0.438205935047,0.438205935047,0.438205935047,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,17,0.437542873709,0.435761159566,0.436117502395,0.435761159566,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,35,0.437401102556,0.434835187177,0.43688791948,0.437401102556,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,40,0.436607497652,0.430688907132,0.431872625236,0.430688907132,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,30,0.436592293984,0.433187444597,0.435911324107,0.436592293984,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,30,0.436592293984,0.436592293984,0.436592293984,0.436592293984,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,50,0.436273141678,0.434672352905,0.434992510659,0.434672352905,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,40,0.435872010235,0.429804413563,0.434658490901,0.435872010235,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,20,0.435182982184,0.435182982184,0.435182982184,0.435182982184,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,45,0.43515014215,0.43057246456,0.434234606632,0.43515014215,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,45,0.435140319282,0.428770184908,0.430044211783,0.428770184908,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
13,11,0.435124990847,0.405801817742,0.429260356226,0.435124990847,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,27,0.434957814655,0.432659645081,0.433119278996,0.432659645081,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
