K_cap,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
21,0.65858487186,0.655627470752,0.657993391639,0.65858487186,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
20,0.652549022991,0.652549022991,0.652549022991,0.652549022991,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
15,0.644593743603,0.644593743603,0.644593743603,0.644593743603,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
30,0.642747825821,0.642747825821,0.642747825821,0.642747825821,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
19,0.641244414489,0.641244414489,0.641244414489,0.641244414489,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
18,0.640432670093,0.640432670093,0.640432670093,0.640432670093,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
16,0.63842886845,0.63842886845,0.63842886845,0.63842886845,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
23,0.637640413905,0.637640413905,0.637640413905,0.637640413905,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
24,0.647074069545,0.637450520663,0.639375230439,0.637450520663,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
14,0.632631712439,0.632631712439,0.632631712439,0.632631712439,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
25,0.631048808696,0.631048808696,0.631048808696,0.631048808696,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
6,0.629409046191,0.629409046191,0.629409046191,0.629409046191,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
17,0.627088511443,0.627088511443,0.627088511443,0.627088511443,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
22,0.62526918069,0.62526918069,0.62526918069,0.62526918069,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
13,0.623301983363,0.623301983363,0.623301983363,0.623301983363,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
8,0.621945453962,0.621945453962,0.621945453962,0.621945453962,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
35,0.619777002081,0.619777002081,0.619777002081,0.619777002081,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
12,0.619484771981,0.619484771981,0.619484771981,0.619484771981,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
5,0.615759606184,0.615759606184,0.615759606184,0.615759606184,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
11,0.612896839343,0.612896839343,0.612896839343,0.612896839343,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
7,0.6110107551,0.6110107551,0.6110107551,0.6110107551,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
9,0.607587731608,0.607587731608,0.607587731608,0.607587731608,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
10,0.607573864689,0.607573864689,0.607573864689,0.607573864689,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
40,0.559072979714,0.54720066715,0.556698517201,0.559072979714,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
60,0.555088530749,0.539575030819,0.551985830763,0.555088530749,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
45,0.545646688164,0.545646688164,0.545646688164,0.545646688164,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
75,0.536029207999,0.524335675419,0.533690501483,0.536029207999,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
50,0.533898782906,0.518103344152,0.530739695155,0.533898782906,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
80,0.533813238589,0.530253062539,0.533101203379,0.533813238589,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
65,0.529863839049,0.507259162146,0.525342903668,0.529863839049,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
55,0.529484318643,0.526536636,0.527126172529,0.526536636,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
70,0.531399968577,0.506796630457,0.511717298081,0.506796630457,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
90,0.508838298435,0.495700030359,0.498327683974,0.495700030359,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
85,0.519856082827,0.49476276433,0.499781428029,0.49476276433,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
