K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
19,17,0.650868794353,0.650868794353,0.650868794353,0.650868794353,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
18,11,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
17,11,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
21,12,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
19,12,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
18,12,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
17,12,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
23,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
22,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
21,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
20,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
19,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
18,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
17,13,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
24,14,0.649493780264,0.649493780264,0.649493780264,0.649493780264,10,4,0,2510,./proteins/nup116_sparse/,entropic_aff
