K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
90,10.5,0.327937434384,0.296732290094,0.302973318952,0.296732290094,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,16,0.320980729922,0.294241718214,0.31563292758,0.320980729922,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,13.2,0.31627886743,0.295055048315,0.312034103607,0.31627886743,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,14.7,0.315106150039,0.285471236412,0.309179167314,0.315106150039,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,13.5,0.314252328447,0.295228301986,0.299033107278,0.295228301986,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
85,8.3,0.312937787139,0.279882871025,0.306326803916,0.312937787139,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,11.9,0.312002826574,0.295292326499,0.308660726559,0.312002826574,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,12.3,0.3108106859,0.298636455847,0.301071301857,0.298636455847,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,15.5,0.31028413228,0.293681815915,0.297002279188,0.293681815915,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,11.7,0.309712419884,0.294266214013,0.297355455187,0.294266214013,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,13.8,0.309450469125,0.296660624981,0.306892500296,0.309450469125,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,12.9,0.309297382227,0.303000878842,0.304260179519,0.303000878842,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,14.4,0.308401618606,0.306621995642,0.308045694013,0.308401618606,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
85,12.9,0.307774305743,0.277573480928,0.30173414078,0.307774305743,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,10,0.307207621724,0.291128534841,0.294344352217,0.291128534841,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,12.1,0.306564132642,0.303591320343,0.305969570182,0.306564132642,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,3.5,0.305970040234,0.301012197846,0.302003766323,0.301012197846,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,9,0.305792326839,0.290310531706,0.293406890733,0.290310531706,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,7.5,0.304618363107,0.293066622157,0.295376970347,0.293066622157,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,4,0.304448986034,0.289239498466,0.29228139598,0.289239498466,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,13.5,0.304375815645,0.299028752581,0.303306403033,0.304375815645,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,5.5,0.303299924119,0.298688320999,0.299610641623,0.298688320999,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,8.5,0.302864450779,0.29754827293,0.2986115085,0.29754827293,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,8,0.302774159061,0.294662759175,0.296285039152,0.294662759175,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
85,16,0.302479817509,0.281496537783,0.285693193728,0.281496537783,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,6,0.301918480717,0.293101805013,0.300155145577,0.301918480717,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,3,0.300307406028,0.290699942629,0.298385913348,0.300307406028,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,8.3,0.300275316494,0.299112033952,0.300042659986,0.300275316494,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,14.9,0.300088614734,0.296115968679,0.299294085523,0.300088614734,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
