K_cap,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
25,0.414983650627,0.414983650627,0.414983650627,0.414983650627,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
50,0.412453760619,0.409164928186,0.411795994132,0.412453760619,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
14,0.412078203211,0.412078203211,0.412078203211,0.412078203211,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
12,0.41154135443,0.41154135443,0.41154135443,0.41154135443,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
15,0.410460421263,0.410460421263,0.410460421263,0.410460421263,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
11,0.409964448979,0.409964448979,0.409964448979,0.409964448979,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
16,0.409914205767,0.409914205767,0.409914205767,0.409914205767,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
13,0.409914205767,0.409914205767,0.409914205767,0.409914205767,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
18,0.406377236179,0.406377236179,0.406377236179,0.406377236179,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
17,0.406377236179,0.406377236179,0.406377236179,0.406377236179,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
24,0.406339460887,0.406339460887,0.406339460887,0.406339460887,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
19,0.405168965083,0.405168965083,0.405168965083,0.405168965083,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
10,0.405133677005,0.405133677005,0.405133677005,0.405133677005,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
22,0.404283235938,0.404283235938,0.404283235938,0.404283235938,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
21,0.404283235938,0.404283235938,0.404283235938,0.404283235938,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
23,0.40374354186,0.40374354186,0.40374354186,0.40374354186,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
20,0.40374354186,0.40374354186,0.40374354186,0.40374354186,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
8,0.401985670885,0.401985670885,0.401985670885,0.401985670885,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
60,0.4060765099,0.40193055497,0.402759745956,0.40193055497,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
5,0.401637057063,0.401637057063,0.401637057063,0.401637057063,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
35,0.400472128761,0.400472128761,0.400472128761,0.400472128761,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
30,0.400472128761,0.400472128761,0.400472128761,0.400472128761,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
9,0.397116137839,0.397116137839,0.397116137839,0.397116137839,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
40,0.395806834005,0.368094870369,0.390264441277,0.395806834005,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
6,0.395096458987,0.395096458987,0.395096458987,0.395096458987,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
7,0.392935467014,0.392935467014,0.392935467014,0.392935467014,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
55,0.390236112095,0.390236112095,0.390236112095,0.390236112095,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
80,0.380948387324,0.380948387324,0.380948387324,0.380948387324,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
45,0.379116484436,0.378264969813,0.378946181511,0.379116484436,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
90,0.371522331392,0.371522331392,0.371522331392,0.371522331392,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
85,0.370209634924,0.367489103636,0.369665528667,0.370209634924,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
65,0.358719869645,0.356234772918,0.358222850299,0.358719869645,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
70,0.351009491932,0.351009491932,0.351009491932,0.351009491932,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
75,0.349508086467,0.349508086467,0.349508086467,0.349508086467,10,2,0,2510,./proteins/trp-cage_sparse/,plain_aff
