K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
25,24,0.450823423046,0.450823423046,0.450823423046,0.450823423046,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,22,0.442446566627,0.442446566627,0.442446566627,0.442446566627,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,22,0.442446566627,0.442446566627,0.442446566627,0.442446566627,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
50,45,0.440551922305,0.438119856591,0.440065509162,0.440551922305,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
55,50,0.438938560015,0.427598436787,0.436670535369,0.438938560015,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
70,55,0.436484612619,0.433535282001,0.435894746496,0.436484612619,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
19,18,0.435352096551,0.435153719238,0.435312421089,0.435352096551,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,45,0.435269286532,0.429365288248,0.430546087905,0.429365288248,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,35,0.433985952031,0.433985952031,0.433985952031,0.433985952031,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,20,0.43313561224,0.429986004213,0.432505690634,0.43313561224,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,50,0.430987564974,0.425675256075,0.429925103194,0.430987564974,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
45,40,0.430968493288,0.430968493288,0.430968493288,0.430968493288,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
55,45,0.430968493288,0.427323699224,0.428052658037,0.427323699224,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,45,0.429365288248,0.424876362551,0.428467503109,0.429365288248,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
70,50,0.429365288248,0.426296717458,0.42875157409,0.429365288248,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
20,19,0.428139495234,0.428139495234,0.428139495234,0.428139495234,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,20,0.4280312982,0.4280312982,0.4280312982,0.4280312982,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,50,0.427822671807,0.425541600947,0.427366457635,0.427822671807,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,22,0.426681265639,0.426681265639,0.426681265639,0.426681265639,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
50,40,0.426590225628,0.426590225628,0.426590225628,0.426590225628,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,18,0.426399343407,0.421814827172,0.42548244016,0.426399343407,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,20,0.426399343407,0.424895811457,0.426098637017,0.426399343407,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,20,0.426399343407,0.426399343407,0.426399343407,0.426399343407,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,27,0.425327659508,0.42193753433,0.422615559365,0.42193753433,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,30,0.425327659508,0.425327659508,0.425327659508,0.425327659508,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
20,17,0.424895811457,0.424895811457,0.424895811457,0.424895811457,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,18,0.424895811457,0.424895811457,0.424895811457,0.424895811457,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
20,18,0.424895811457,0.424895811457,0.424895811457,0.424895811457,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,19,0.424895811457,0.424895811457,0.424895811457,0.424895811457,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,19,0.424895811457,0.424895811457,0.424895811457,0.424895811457,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,27,0.424366296493,0.424366296493,0.424366296493,0.424366296493,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,30,0.422159384616,0.422159384616,0.422159384616,0.422159384616,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,19,0.421814827172,0.421814827172,0.421814827172,0.421814827172,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
