,,,,dn,,,,,,,,
,,,,,en,,,,,,,
,,trp,gb1,nup,nsp,,,,,,,
,,0.449518,0.505338,0.744742,0.511436,1,,,,,,
,,0.389229,0.399146,0.586933,0.41483,3,,,,,,
,,0.375188,0.469478,0.579408,0.505215,4,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,sp,,,,,,,,
,,,,en,,,,,,,pl,
,,trp,gb1,nup,nsp,,,trp,gb1,nup,nsp,
,,0.459396,0.504878,0.7311,0.554526,1,,0.310007,0.248536,0.286396,0.303748,1
,,0.492393,0.466164,0.716868,0.543167,3,,0.488108,0.431943,0.636023,0.535015,3
,,0.501782,0.490123,0.721358,0.589032,4,,0.268485,0.304749,0.339484,0.32692,4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,ssp,,,,,,,,
,,,,en,,,,,,,pl,
,,trp,gb1,nup,nsp,,,trp,gb1,nup,nsp,
,,0.450823,0.459173,0.594059,0.47971,1,,0.349561,0.318078,0.298928,0.157486,1
,,0.416964,0.401738,0.672673,0.462366,3,,0.427343,0.415924,0.675879,0.468518,3
,,0.422423,0.409507,0.650869,0.51276,4,,0.348712,0.348953,0.320981,0.301643,4
